player_id,player_name,team
1629675,Naz Reid,Timberwolves
1631197,Jared Rhoden,Raptors
1630208,Nick Richards,Suns
1642258,Zaccharie Risacher,Hawks
1629130,Duncan Robinson,Heat
1629011,Mitchell Robinson,Knicks
1631115,Orlando Robinson,Raptors
1630526,Jeremiah Robinson-Earl,Pelicans
1631223,David Roddy,Rockets
1631157,Ryan Rollins,Bucks
1642050,Jackson Rowe,Warriors
1626179,Terry Rozier,Heat
1641712,Rayan Rupert,Blazers
1626156,D'Angelo Russell,Nets
1627734,Domantas Sabonis,Kings
1642275,Tidjane Salaün,Hornets
1630611,Gui Santos,Warriors
1642259,Alex Sarr,Wizards
1631204,Marcus Sasser,Pistons
1631248,Baylor Scheierman,Celtics
203471,Dennis Schröder,Pistons
1630578,Alperen Sengun,Rockets
1641729,Brice Sensabaugh,Jazz
1629012,Collin Sexton,Jazz
1629013,Landry Shamet,Knicks
1630545,Terrence Shannon Jr.,Timberwolves
1630549,Day'Ron Sharpe,Nets
1631101,Shaedon Sharpe,Blazers
1642347,Jamal Shead,Raptors
1641767,Ben Sheppard,Pacers
1642263,Reed Sheppard,Rockets
1627783,Pascal Siakam,Pacers
1627732,Ben Simmons,Clippers
1629014,Anfernee Simons,Blazers
1642354,KJ Simpson,Hornets
1630579,Jericho Sims,Bucks
203935,Marcus Smart,Wizards
1630696,Dru Smith,Heat
1630188,Jalen Smith,Bulls
1642449,Tolu Smith,Pistons
1641890,Tyler Smith,Bucks
1631095,Jabari Smith Jr.,Rockets
1641733,Nick Smith Jr.,Hornets
1631110,Jeremy Sochan,Spurs
1642285,Cam Spencer,Grizzlies
1630311,Pat Spencer,Warriors
1630531,Jaden Springer,Jazz
1641815,Isaiah Stevens,Heat
1630205,Lamar Stevens,Grizzlies
1630191,Isaiah Stewart,Pistons
1631124,Julian Strawther,Nuggets
1629622,Max Strus,Cavaliers
1630591,Jalen Suggs,Magic
1630256,Jae'Sean Tate,Rockets
1628369,Jayson Tatum,Celtics
1630678,Terry Taylor,Kings
202066,Garrett Temple,Raptors
1631207,Dalen Terry,Bulls
1630560,Cam Thomas,Nets
1641708,Amen Thompson,Rockets
1641709,Ausar Thompson,Pistons
1630679,Ethan Thompson,Magic
202691,Klay Thompson,Mavericks
202684,Tristan Thompson,Cavaliers
1630550,JT Thor,Wizards
1629680,Matisse Thybulle,Blazers
1630214,Xavier Tillman,Celtics
1641772,Nae'Qwan Tomlin,Cavaliers
1642260,Nikola Topić,Thunder
1631210,Jacob Toppin,Hawks
1630167,Obi Toppin,Pacers
1626157,Karl-Anthony Towns,Knicks
1631247,Luke Travers,Cavaliers
1629018,Gary Trent Jr.,Bucks
1631131,Oscar Tshiebwe,Jazz
200782,P.J. Tucker,Knicks
1626167,Myles Turner,Pacers
1641816,Hunter Tyson,Nuggets
1642281,Jaylon Tyson,Cavaliers
1630649,Stanley Umude,Bucks
202685,Jonas Valančiūnas,Kings
1627832,Fred VanVleet,Rockets
1629020,Jarred Vanderbilt,Lakers
1630170,Devin Vassell,Spurs
1629216,Gabe Vincent,Lakers
1641774,Tristan Vukcevic,Wizards
202696,Nikola Vučević,Bulls
1629731,Dean Wade,Cavaliers
1630532,Franz Wagner,Magic
1629021,Moritz Wagner,Magic
1631133,Jabari Walker,Blazers
1641716,Jarace Walker,Pacers
1629022,Lonnie Walker IV,Sixers
1641717,Cason Wallace,Thunder
1630811,Keaton Wallace,Hawks
1641775,Jordan Walsh,Celtics
1642266,Ja'Kobe Walter,Raptors
1642276,Kel'el Ware,Heat
1629023,P.J. Washington,Mavericks
1631102,TyTy Washington Jr.,Suns
1630322,Lindy Waters III,Pistons
1630570,Trendon Watford,Nets
1641817,Anton Watson,Knicks
1631212,Peyton Watson,Nuggets
1642377,Jaylen Wells,Grizzlies
1641705,Victor Wembanyama,Spurs
1631104,Blake Wesley,Spurs
201566,Russell Westbrook,Nuggets
1629632,Coby White,Bulls
1628401,Derrick White,Celtics
1641727,Dariq Whitehead,Nets
1641715,Cam Whitmore,Rockets
1630598,Aaron Wiggins,Thunder
203952,Andrew Wiggins,Heat
1630314,Brandon Williams,Mavericks
1642262,Cody Williams,Jazz
1629684,Grant Williams,Hornets
1631114,Jalen Williams,Thunder
1631119,Jaylin Williams,Thunder
1629026,Kenrich Williams,Thunder
1631109,Mark Williams,Hornets
1631466,Nate Williams,Rockets
1630172,Patrick Williams,Bulls
1630533,Ziaire Williams,Nets
1629057,Robert Williams III,Blazers
1631246,Vince Williams Jr.,Grizzlies
1629627,Zion Williamson,Pelicans
1630592,Jalen Wilson,Nets
1626153,Delon Wright,Knicks
1627824,Guerschon Yabusele,Sixers
1642443,Jahmir Young,Bulls
1629027,Trae Young,Hawks
1627826,Ivica Zubac,Clippers
1641783,Tristan da Silva,Magic
1628427,Vlatko Čančar,Nuggets
203967,Dario Šarić,Nuggets
